threshold,recallSensitivity,specificity,precision,f1,accuracy,balancedAccuracy,negativePredictiveValue,tn,fp,fn,tp,auroc,auprc,brier,ece
0.536,0.8143203747805767,0.7238860383472859,0.7807806520084476,0.7971978984238178,0.7733564119658224,0.7691032065639314,0.7634936910763622,53611,20449,16607,72832,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.537,0.8143203747805767,0.7238860383472859,0.7807806520084476,0.7971978984238178,0.7733564119658224,0.7691032065639314,0.7634936910763622,53611,20449,16607,72832,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.538,0.8141973859278391,0.7241155819605725,0.7808971293148745,0.79719965844153,0.7733931094379782,0.7691564839442058,0.7634313697577086,53628,20432,16618,72821,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.539,0.8141973859278391,0.7241155819605725,0.7808971293148745,0.79719965844153,0.7733931094379782,0.7691564839442058,0.7634313697577086,53628,20432,16618,72821,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.54,0.8141862051230447,0.7241155819605725,0.7808947797366277,0.797193074645166,0.7733869931926189,0.7691508935418085,0.7634205019431435,53628,20432,16619,72820,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.541,0.8141862051230447,0.7241155819605725,0.7808947797366277,0.797193074645166,0.7733869931926189,0.7691508935418085,0.7634205019431435,53628,20432,16619,72820,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.542,0.8141862051230447,0.7241155819605725,0.7808947797366277,0.797193074645166,0.7733869931926189,0.7691508935418085,0.7634205019431435,53628,20432,16619,72820,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.543,0.8141862051230447,0.7241155819605725,0.7808947797366277,0.797193074645166,0.7733869931926189,0.7691508935418085,0.7634205019431435,53628,20432,16619,72820,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.544,0.8141862051230447,0.7241155819605725,0.7808947797366277,0.797193074645166,0.7733869931926189,0.7691508935418085,0.7634205019431435,53628,20432,16619,72820,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.545,0.8141862051230447,0.7241155819605725,0.7808947797366277,0.797193074645166,0.7733869931926189,0.7691508935418085,0.7634205019431435,53628,20432,16619,72820,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.546,0.8141862051230447,0.7241155819605725,0.7808947797366277,0.797193074645166,0.7733869931926189,0.7691508935418085,0.7634205019431435,53628,20432,16619,72820,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.547,0.8141750243182504,0.7241155819605725,0.7808924301079881,0.7971864907767255,0.7733808769472597,0.7691453031394114,0.7634096344379911,53628,20432,16620,72819,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.548,0.8141750243182504,0.7241155819605725,0.7808924301079881,0.7971864907767255,0.7733808769472597,0.7691453031394114,0.7634096344379911,53628,20432,16620,72819,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.549,0.8141750243182504,0.7241155819605725,0.7808924301079881,0.7971864907767255,0.7733808769472597,0.7691453031394114,0.7634096344379911,53628,20432,16620,72819,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.55,0.8141750243182504,0.7241155819605725,0.7808924301079881,0.7971864907767255,0.7733808769472597,0.7691453031394114,0.7634096344379911,53628,20432,16620,72819,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
